round,phase,dataset_label,dataset,existing_client_count,newcomer_client_count,active_client_count,existing_id_acc,existing_ood_acc,newcomer_id_acc,newcomer_ood_acc,existing_id_client_std,existing_ood_client_std,newcomer_id_client_std,newcomer_ood_client_std,existing_id_evaluated_clients,existing_ood_evaluated_clients,newcomer_id_evaluated_clients,newcomer_ood_evaluated_clients,existing_id_correct,existing_id_samples,existing_ood_correct,existing_ood_samples,newcomer_id_correct,newcomer_id_samples,newcomer_ood_correct,newcomer_ood_samples,round_uplink_mb,round_downlink_mb,round_total_mb,cumulative_uplink_mb,cumulative_downlink_mb,cumulative_total_mb,mean_total_mb_per_logged_round
0,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.16666667,0.08333333,,,0.23570226,0.05892557,,,30,30,0,0,1000,6000,2000,24000,0,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.86783333,0.00000000,,,0.09814686,0.00000000,,,30,30,0,0,5207,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,117.81852722,117.81852722,235.63705444,117.81852722
2,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.94516667,0.00000000,,,0.02882370,0.00000000,,,30,30,0,0,5671,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,235.63705444,235.63705444,471.27410889,157.09136963
3,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.95366667,0.00000000,,,0.02462835,0.00000000,,,30,30,0,0,5722,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,353.45558167,353.45558167,706.91116333,176.72779083
4,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.95666667,0.00000000,,,0.02226108,0.00000000,,,30,30,0,0,5740,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,471.27410889,471.27410889,942.54821777,188.50964355
5,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.95983333,0.00000000,,,0.02274802,0.00000000,,,30,30,0,0,5759,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,589.09263611,589.09263611,1178.18527222,196.36421204
6,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96016667,0.00000000,,,0.02211648,0.00000000,,,30,30,0,0,5761,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,706.91116333,706.91116333,1413.82232666,201.97461809
7,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96233333,0.00000000,,,0.02112397,0.00000000,,,30,30,0,0,5774,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,824.72969055,824.72969055,1649.45938110,206.18242264
8,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96400000,0.00000000,,,0.02067204,0.00000000,,,30,30,0,0,5784,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,942.54821777,942.54821777,1885.09643555,209.45515951
9,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96533333,0.00000000,,,0.01995551,0.00000000,,,30,30,0,0,5792,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1060.36674500,1060.36674500,2120.73348999,212.07334900
10,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96616667,0.00000000,,,0.02019420,0.00000000,,,30,30,0,0,5797,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1178.18527222,1178.18527222,2356.37054443,214.21550404
11,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96766667,0.00000000,,,0.01943936,0.00000000,,,30,30,0,0,5806,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1296.00379944,1296.00379944,2592.00759888,216.00063324
12,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96816667,0.00000000,,,0.01947149,0.00000000,,,30,30,0,0,5809,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1413.82232666,1413.82232666,2827.64465332,217.51112718
13,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96766667,0.00000000,,,0.02023748,0.00000000,,,30,30,0,0,5806,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1531.64085388,1531.64085388,3063.28170776,218.80583627
14,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96816667,0.00000000,,,0.02095564,0.00000000,,,30,30,0,0,5809,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1649.45938110,1649.45938110,3298.91876221,219.92791748
15,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96900000,0.00000000,,,0.02014117,0.00000000,,,30,30,0,0,5814,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1767.27790833,1767.27790833,3534.55581665,220.90973854
16,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96933333,0.00000000,,,0.01956755,0.00000000,,,30,30,0,0,5816,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,1885.09643555,1885.09643555,3770.19287109,221.77605124
17,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.96966667,0.00000000,,,0.01953345,0.00000000,,,30,30,0,0,5818,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,2002.91496277,2002.91496277,4005.82992554,222.54610697
18,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.97116667,0.00000000,,,0.01891575,0.00000000,,,30,30,0,0,5827,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,2120.73348999,2120.73348999,4241.46697998,223.23510421
19,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.97066667,0.00000000,,,0.01939645,0.00000000,,,30,30,0,0,5824,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,2238.55201721,2238.55201721,4477.10403442,223.85520172
20,phase1,dynamic_test,FashionMNIST_dynamic_clients_nc50,30,0,30,0.97100000,0.00000000,,,0.01951068,0.00000000,,,30,30,0,0,5826,6000,0,24000,0,0,0,0,117.81852722,117.81852722,235.63705444,2356.37054443,2356.37054443,4712.74108887,224.41624233
